KO,Bsal_1_15,Bsal_1_29,Bsal_2_15,Bsal_2_29,Bsal_3_15,Bsal_4_15,Bsal_4_29,
K02169,0,0,0,0,0,0,0,
K00833,2,0,2,0,0,0,0,
K02170,0,0,0,0,0,0,0,
K01087,0,0,2,0,0,1,0,
K00697,0,0,0,0,0,0,0,
K01495,0,1,0,0,0,0,0,
K01467,0,0,0,0,0,0,0,
K00297,0,0,0,0,0,0,0,
K09761,0,0,0,0,0,0,0,
K21023,0,0,0,0,4,0,0,
K11936,0,0,0,0,0,2,0,
K18691,1,0,0,0,0,0,0,
K04760,0,0,0,0,0,0,0,
K08369,0,0,0,0,2,0,0,
K03046,0,6,13,0,10,4,0,
K07044,0,0,0,0,0,0,0,
K07044,0,0,2,0,2,0,2,
K21420,0,0,0,0,0,0,0,
K03789,0,0,0,0,0,0,0,
K12542,0,0,0,0,2,0,0,
K03530,0,0,0,0,0,0,0,
K13643,0,3,0,0,1,0,0,
K04096,1,0,0,0,3,0,0,
K07566,0,0,6,0,1,0,0,
K08196,0,0,1,0,0,0,0,
K01031,0,0,0,0,0,0,0,
K01032,0,0,0,0,0,0,0,
K04090,0,0,0,0,0,0,0,
K20035,0,0,0,0,0,0,0,
K01968,0,0,0,0,0,0,0,
K01640,0,0,0,0,0,0,0,
K13766,0,0,0,0,0,0,0,
K01969,0,0,0,0,0,0,0,
K00253,0,0,0,0,0,0,0,
K00666,2,0,0,0,0,0,0,
K15256,0,0,0,0,0,0,0,
K05548,0,0,0,0,0,0,0,
K03781,0,0,1,0,0,0,0,
K03503,0,0,0,0,0,0,0,
K03719,0,0,0,0,0,0,0,
K06889,0,0,0,0,0,0,0,
K01406,0,0,0,0,0,0,0,
K00384,0,1,0,0,0,0,0,
K00684,0,0,0,0,0,0,0,
K00626,0,0,0,0,0,0,0,
K07002,1,0,11,0,0,0,0,
K09470,0,0,0,0,0,0,0,
K07667,0,0,0,0,0,0,0,
K03736,0,0,0,0,0,0,0,
K03735,0,0,0,0,0,0,0,
K07126,0,0,2,0,0,0,0,
K07263,0,0,0,0,0,0,0,
K00337,0,0,2,0,0,0,0,
K00338,0,0,0,0,0,0,0,
K00339,0,0,0,0,2,0,0,
K00340,0,0,0,0,1,0,0,
K00341,0,0,0,0,2,0,0,
K00342,2,0,4,0,2,0,0,
K00343,2,0,0,0,0,2,0,
K00761,0,0,0,0,0,0,0,
K01505,0,0,0,0,3,0,0,
K03543,0,0,0,0,2,0,0,
K01874,0,0,0,0,0,0,0,
K05835,0,0,0,0,0,0,0,
K03593,0,0,1,0,1,0,0,
K01243,0,0,0,0,0,0,0,
K09928,0,0,0,0,0,0,0,
K01494,0,0,0,0,2,0,0,
K05541,0,0,0,0,0,0,0,
K03106,0,0,0,0,0,0,0,
K03525,0,0,0,0,0,0,0,
K03524,0,0,0,0,0,0,0,
K07090,0,0,0,0,2,0,0,
K20035,0,0,0,0,0,0,0,
K13256,0,0,0,0,0,0,0,
K23243,0,0,0,0,0,0,0,
K20035,0,0,10,0,0,2,0,
K07642,0,0,2,0,0,0,0,
K08997,2,0,2,0,0,0,0,
K07664,0,0,0,0,0,0,0,
K00507,0,2,0,0,0,0,0,
K01126,0,0,0,0,0,0,0,
K03668,0,0,0,0,0,0,0,
K02014,0,0,0,0,1,0,0,
K00798,0,0,0,0,0,0,0,
K01817,0,0,0,0,5,0,0,
K01696,0,0,0,0,2,0,0,
K07044,0,0,0,0,0,0,0,
K01695,0,0,10,0,0,2,0,
K01963,0,0,0,0,0,0,0,
K11754,0,0,0,0,0,0,0,
K13075,0,0,0,0,1,0,0,
K24158,0,0,0,0,1,0,0,
K03070,0,2,0,0,11,2,0,
K11068,0,0,0,0,2,0,0,
K01782,1,0,3,0,0,0,0,
K02348,0,0,0,0,0,0,0,
K00626,0,0,0,0,0,0,0,
K03208,0,0,0,0,0,0,0,
K02472,0,0,0,0,0,0,0,
K01791,0,0,2,0,2,0,0,
K02474,4,0,0,0,0,0,0,
K01991,0,0,2,0,0,2,0,
K25307,0,0,0,0,0,0,0,
K16692,0,0,2,0,0,0,0,
K03980,0,0,0,0,0,0,0,
K03772,0,0,0,0,0,0,0,
K03772,0,0,0,0,0,0,0,
K03806,0,0,0,0,1,0,0,
K01114,0,0,0,0,0,0,0,
K00767,0,0,0,0,0,0,0,
K00989,0,0,0,0,0,0,0,
K22769,0,0,0,0,2,0,0,
K22770,0,4,2,2,2,0,6,
K22105,0,0,0,0,0,0,0,
K03673,0,0,0,0,0,0,0,
K00568,2,4,0,0,1,0,0,
K22292,4,0,0,0,0,0,0,
K23243,2,10,6,2,0,5,6,
K23243,0,6,12,2,2,0,0,
K14682,0,0,0,0,2,0,0,
K15553,0,0,0,0,0,0,0,
K15553,0,0,0,0,0,0,0,
K04091,7,2,0,0,6,0,0,
K15554,1,0,0,0,0,0,0,
K15555,0,0,0,0,0,0,0,
K09017,0,0,0,0,0,0,0,
K02031,0,0,0,0,0,0,0,
K02034,0,0,0,0,4,0,0,
K02035,0,0,0,0,0,0,0,
K02014,0,0,0,0,0,0,0,
K03832,0,0,0,0,0,0,0,
K03561,0,0,0,0,0,0,0,
K03559,0,0,0,0,0,0,0,
K03559,0,0,0,0,0,0,0,
K06916,0,2,1,0,0,0,0,
K01591,0,0,0,0,0,0,0,
K02945,2,2,6,0,0,1,0,
K08992,0,0,0,0,0,0,0,
K05788,0,0,0,0,0,0,0,
K00945,0,12,13,0,3,0,2,
K11991,0,0,0,0,0,0,0,
K03648,0,2,0,0,0,0,0,
K01737,0,0,0,0,0,0,0,
K02460,0,0,0,0,0,0,0,
K02459,0,0,0,0,0,0,0,
K02458,0,0,0,0,0,0,0,
K03424,0,0,0,0,0,0,0,
K02341,0,0,0,0,0,2,0,
K02676,0,0,0,0,0,0,0,
K00979,0,0,0,0,0,0,0,
K00912,0,0,0,0,0,0,0,
K11085,0,0,0,0,0,0,0,
K03559,0,0,0,0,0,0,0,
K03561,0,0,0,0,0,0,0,
K03497,0,0,0,0,0,0,0,
K03791,0,0,0,0,0,0,0,
K05820,0,0,0,0,1,0,2,
K01961,0,0,0,0,0,0,0,
K02160,0,0,0,0,0,0,0,
K03502,0,0,0,0,0,0,0,
K03786,0,0,0,0,0,0,0,
K02014,0,0,0,0,0,0,0,
K23374,0,0,0,0,0,2,0,
K23376,0,0,0,0,0,0,0,
K23361,0,0,0,0,0,0,0,
K23375,0,0,0,0,0,0,0,
K21721,1,0,0,0,4,0,0,
K21949,0,0,0,0,0,0,0,
K07183,0,0,0,0,0,0,0,
K00362,0,0,0,0,2,0,0,
K00362,0,0,0,0,0,0,0,
K00372,0,0,0,0,0,0,0,
K03752,0,0,0,0,0,0,0,
K03639,0,0,0,0,0,0,0,
K03635,0,0,0,0,0,0,0,
K03637,0,0,2,0,0,0,0,
K03750,0,0,0,0,0,0,0,
K07235,0,0,0,0,0,0,0,
K01679,4,1,2,0,6,2,0,
K00285,0,0,1,0,2,0,0,
K01770,0,0,0,0,0,0,0,
K00611,0,0,0,0,0,0,0,
K18137,0,0,0,0,0,0,0,
K07712,0,0,0,0,2,0,0,
K07708,0,0,0,0,0,0,0,
K14441,0,0,2,0,0,0,2,
K09903,0,2,0,0,0,0,2,
K02838,0,0,0,0,0,0,2,
K00806,0,0,0,0,0,0,0,
K00981,0,0,0,0,0,0,2,
K00099,0,0,2,0,0,0,0,
K11749,0,0,2,0,2,0,0,
K07277,0,0,0,0,4,0,0,
K06142,0,0,0,0,0,0,0,
K02536,0,0,3,0,0,0,0,
K02372,0,0,0,0,0,0,0,
K00677,0,0,0,0,0,0,0,
K03553,0,0,0,0,0,0,0,
K03565,0,0,0,0,0,0,0,
K04762,0,2,0,0,0,0,0,
K20881,0,0,0,0,0,0,0,
K03790,0,0,0,0,0,0,0,
K03719,0,8,0,0,0,0,0,
K01556,0,0,0,0,0,0,0,
K01432,0,0,0,0,0,0,0,
K03321,0,0,0,0,0,0,0,
K21023,2,0,6,0,1,0,0,
K21430,0,0,0,0,0,0,0,
K07090,0,0,0,0,0,0,0,
K02770,0,0,0,0,3,0,0,
K23993,0,0,0,0,0,0,0,
K00882,0,0,0,0,0,0,0,
K03311,0,0,0,0,0,0,0,
K11477,0,0,0,0,0,0,0,
K01265,0,0,0,0,0,0,0,
K07390,0,0,0,0,0,0,0,
K00821,0,0,0,0,0,0,0,
K03110,0,0,0,0,0,0,0,
K07078,0,0,0,0,0,0,0,
K09909,0,0,0,0,0,0,0,
K00426,0,0,0,0,0,0,0,
K00425,0,0,2,0,0,0,0,
K00856,0,0,1,0,0,0,0,
K16090,0,0,0,0,2,0,0,
K06972,2,0,4,0,0,2,0,
K03498,0,0,0,0,0,0,0,
K01058,0,0,0,0,0,0,0,
K02517,0,0,1,0,2,0,0,
K03704,0,0,0,0,0,0,0,
K05834,0,0,0,0,0,0,0,
K03601,0,2,0,0,0,0,0,
K03602,0,0,0,0,0,0,0,
K17686,0,0,0,0,0,0,0,
K19591,0,0,0,0,0,0,0,
K21757,0,2,0,0,0,0,2,
K05549,0,0,0,0,2,0,0,
K05550,0,0,0,0,0,0,0,
K05784,2,2,0,0,0,0,0,
K05783,0,0,0,0,0,0,0,
K05782,0,0,0,0,1,0,0,
K05548,0,0,0,0,0,0,0,
K03578,0,0,0,0,0,0,2,
K21758,0,0,0,0,0,0,0,
K16872,0,0,0,0,0,0,0,
K00496,0,0,0,0,0,0,0,
K24119,0,0,0,0,0,0,0,
K03387,0,0,0,0,0,0,0,
K07004,4,0,0,0,0,0,0,
K00799,0,0,0,0,0,0,0,
K01406,0,0,0,0,0,0,0,
K03439,0,0,0,0,0,0,0,
K05539,0,0,0,0,0,0,0,
K01681,0,0,3,0,2,0,0,
K22132,0,0,0,0,0,0,0,
K03424,2,0,0,0,4,0,0,
K02837,0,0,0,0,0,0,0,
K21023,0,0,0,0,4,0,2,
K00053,2,2,4,0,0,0,0,
K01652,0,0,0,0,1,0,0,
K01653,0,0,0,0,0,0,0,
