Feature_ID,Domain,Phylum,Class,Order,Family,Genus,Species,Confidence
44411de4dbb43c64d6f935967684e2ad,Bacteria,Bacteroidota,Bacteroidia,,,,,0.9999182843
69b3d951d606c228d5e79a225b9fa6d9,Bacteria,Bacteroidota,Bacteroidia,,,,,0.9924231734
da47f46b981ef907a74832cb34898160,Bacteria,,,,,,,0.9971790373
d8459b85eae93c8be563f0440fc898bf,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,,0.9786804465
8dfa99460273ec43fabb1f32de7578f0,Bacteria,Patescibacteria,Parcubacteria,,,,,0.9876702152
8cbfc1117a871f68c3927312cd52f60c,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,,0.9999108712
d6912090090d412066f7d3b36de77317,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,,,0.9878331874
79ef488e453c479cff516710edfd4fce,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,,,0.9572399802
bfc3892be49aa83b62a66da09fdb03b5,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Compostimonas,,0.7512314145
d80309562c36929783c3319165558304,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,,,0.9668529071
6f7fcb61b66f16fb7604d9d9c779440c,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,,0.9851997515
e724c6ba72885bf62a174c97a3117f73,Bacteria,,,,,,,0.9996631944
9fdeb5c866a9d8201a0ade666d18b78b,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,,,,0.7023123647
a6d7081384b742b067aa6f0e0df117ec,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,,,,0.8310949039
cbbd931f3804e07c63e63be916fa679d,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,,0.7988680534
38ca4794e4b4c06cc15ee39fdb1e75aa,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,,,,0.9716364217
e30b4dc23a2045fc8692dfaccdf8fce1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,,,,0.9741885379
a26fe76ec3bab2662898ea077854ce96,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,,,0.79901359
ac1c3b1fdeeae0ce52f762484f13f4e7,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,0.7438179195
011d08c61a74de9df626461a2ababeb7,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,,,,0.9881535727
225d63a6cdcf5e62f26f381b3cd9d206,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,0.8327733422
8e5be7261bf6e76b7728c7fe94bb0e5d,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,0.8889156559
b1cc23d6e4ecfc912e73ce1ab326b8fb,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,0.9836134926
ec31b3f1b502524e4a7fb01a0de0d426,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,0.7995819296
0fb10fb349e64c9304d25336e931725e,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,0.8239277829
49fcd54c8047413622d5ff8ecae925ad,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,,,,0.9819323755
df6d5b0b6f6755467118329477ecbaa3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,0.8312470014
efa45410d12184d1f10c6f65f96761d8,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,0.8361614859
f042363d0c8e218840d4a407baa178f7,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,0.7802075926
4dc9f6af7e8a784a60831be549d22f9c,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,0.9131827359
e37868e5d51122b444e6069d1b13f0ae,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,0.9344708315
e422a0f1491bbb99e9a4d36e5e4f855d,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,,,,0.8240635725
460fc1a5ff400ca979121147bb031624,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,,,,0.7361275111
b18631f481ad7793843fef914be2bbeb,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,,,,0.9999991613
9415f35a45c07a078f27e25726e392d1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,,,,0.9951147832
15495eea24c647ec6b7312cdef79dbb1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,,,0.7110042008
0b3977b89a61681778358399276a0902,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,,0.9744351639
